iter	Passed	Remaining
0	127	126925
1	130	64924
2	133	44301
3	135	33860
4	138	27626
5	140	23357
6	144	20501
7	146	18204
8	149	16428
9	151	15046
10	154	13858
11	156	12867
12	158	12019
13	161	11344
14	165	10859
15	167	10330
16	169	9803
17	171	9364
18	174	9007
19	176	8646
20	178	8317
21	180	8020
22	182	7739
23	183	7471
24	185	7223
25	186	6998
26	188	6787
27	189	6583
28	190	6391
29	192	6232
30	194	6075
31	195	5925
32	197	5776
33	198	5631
34	199	5492
35	200	5369
36	201	5250
37	202	5138
38	204	5029
39	205	4923
40	206	4829
41	208	4744
42	209	4658
43	210	4573
44	211	4493
45	213	4419
46	214	4350
47	215	4280
48	216	4208
49	218	4144
50	219	4081
51	220	4015
52	221	3957
53	222	3897
54	223	3843
55	225	3796
56	226	3742
57	227	3690
58	228	3640
59	229	3591
60	230	3546
61	231	3501
62	232	3456
63	233	3414
64	234	3372
65	235	3331
66	236	3292
67	237	3261
68	239	3224
69	240	3193
70	241	3157
71	242	3124
72	243	3096
73	245	3073
74	246	3043
75	247	3012
76	248	2983
77	249	2952
78	250	2924
79	252	2899
80	253	2873
81	254	2848
82	254	2816
83	256	2792
84	257	2768
85	258	2743
86	258	2717
87	260	2695
88	261	2674
89	262	2655
90	263	2633
91	264	2609
92	265	2586
93	266	2563
94	267	2543
95	268	2524
96	269	2506
97	270	2488
98	271	2469
99	272	2450
100	273	2432
101	274	2415
102	275	2397
103	276	2380
104	277	2364
105	278	2349
106	279	2334
107	280	2319
108	281	2304
109	283	2289
110	283	2274
111	284	2259
112	286	2245
113	287	2231
114	288	2218
115	289	2204
116	290	2189
117	290	2174
118	292	2162
119	293	2149
120	294	2139
121	295	2125
122	296	2114
123	297	2102
124	298	2092
125	300	2081
126	301	2069
127	301	2057
128	303	2046
129	304	2036
130	305	2026
131	306	2017
132	307	2006
133	308	1996
134	310	1986
135	311	1976
136	312	1965
137	313	1958
138	314	1948
139	315	1937
140	316	1928
141	317	1916
142	318	1908
143	319	1899
144	320	1890
145	321	1881
146	322	1872
147	323	1864
148	324	1856
149	326	1847
150	326	1838
151	327	1829
152	328	1820
153	329	1812
154	330	1803
155	331	1796
156	332	1787
157	333	1778
158	334	1771
159	335	1763
160	336	1754
161	337	1746
162	338	1738
163	339	1732
164	340	1724
165	341	1716
166	342	1710
167	344	1703
168	345	1696
169	345	1688
170	346	1681
171	347	1673
172	348	1667
173	349	1660
174	350	1654
175	351	1647
176	352	1640
177	353	1634
178	355	1628
179	356	1622
180	357	1616
181	358	1610
182	359	1603
183	360	1596
184	361	1590
185	362	1585
186	363	1579
187	364	1573
188	365	1567
189	366	1560
190	367	1555
191	368	1549
192	369	1543
193	370	1537
194	370	1531
195	371	1524
196	372	1518
197	373	1513
198	374	1508
199	375	1502
200	376	1497
201	377	1491
202	378	1486
203	379	1482
204	381	1477
205	381	1472
206	382	1466
207	383	1461
208	384	1456
209	386	1452
210	387	1448
211	388	1444
212	389	1439
213	390	1434
214	391	1430
215	392	1425
216	394	1422
217	395	1416
218	395	1411
219	396	1406
220	397	1402
221	398	1397
222	399	1393
223	400	1388
224	401	1383
225	402	1378
226	403	1373
227	404	1369
228	405	1365
229	406	1360
230	407	1355
231	408	1350
232	408	1345
233	409	1341
234	410	1336
235	411	1332
236	412	1328
237	413	1323
238	414	1319
239	415	1314
240	415	1309
241	416	1305
242	417	1301
243	418	1297
244	419	1293
245	420	1289
246	421	1284
247	422	1280
248	423	1276
249	424	1272
250	425	1269
251	426	1265
252	427	1261
253	428	1257
254	429	1253
255	430	1249
256	431	1246
257	432	1242
258	433	1238
259	434	1235
260	434	1231
261	436	1228
262	437	1225
263	438	1223
264	439	1219
265	440	1215
266	441	1211
267	442	1208
268	443	1205
269	444	1201
270	445	1198
271	446	1195
272	447	1191
273	448	1189
274	450	1186
275	451	1183
276	451	1179
277	452	1176
278	453	1173
279	455	1170
280	456	1167
281	463	1180
282	465	1179
283	466	1176
284	467	1173
285	468	1170
286	469	1167
287	470	1163
288	472	1162
289	473	1159
290	475	1157
291	476	1154
292	477	1151
293	478	1149
294	479	1146
295	481	1144
296	482	1141
297	483	1139
298	485	1137
299	486	1134
300	487	1131
301	488	1129
302	489	1126
303	490	1123
304	491	1120
305	492	1117
306	493	1114
307	494	1111
308	495	1108
309	496	1105
310	498	1103
311	499	1101
312	500	1098
313	501	1095
314	502	1093
315	504	1091
316	505	1089
317	507	1087
318	508	1085
319	509	1082
320	510	1080
321	511	1077
322	512	1075
323	514	1072
324	515	1070
325	516	1067
326	517	1064
327	518	1062
328	519	1060
329	520	1057
330	521	1054
331	522	1052
332	524	1049
333	525	1047
334	526	1044
335	527	1042
336	528	1039
337	529	1036
338	530	1034
339	531	1031
340	532	1028
341	533	1025
342	534	1023
343	535	1020
344	536	1018
345	537	1016
346	538	1013
347	539	1011
348	541	1009
349	542	1007
350	543	1005
351	544	1003
352	546	1000
353	547	998
354	548	995
355	549	993
356	550	991
357	552	990
358	553	988
359	554	985
360	555	983
361	556	980
362	557	978
363	559	976
364	560	974
365	561	972
366	562	970
367	563	967
368	564	965
369	565	963
370	567	961
371	568	959
372	569	957
373	570	955
374	571	952
375	572	950
376	573	948
377	575	946
378	576	944
379	577	941
380	578	939
381	579	937
382	580	935
383	582	933
384	583	931
385	584	930
386	585	927
387	587	926
388	588	924
389	589	922
390	591	920
391	592	918
392	593	916
393	594	913
394	595	911
395	596	909
396	597	907
397	598	904
398	599	902
399	600	900
400	601	898
401	602	896
402	603	893
403	604	891
404	605	889
405	606	887
406	607	884
407	608	882
408	609	880
409	610	878
410	611	875
411	612	874
412	613	871
413	614	869
414	615	867
415	616	865
416	617	863
417	618	861
418	620	859
419	621	857
420	622	855
421	623	853
422	624	851
423	625	849
424	626	848
425	627	845
426	628	843
427	629	841
428	631	839
429	632	838
430	633	836
431	634	834
432	635	831
433	636	830
434	637	828
435	638	826
436	640	824
437	641	822
438	642	820
439	643	818
440	644	816
441	645	814
442	646	812
443	647	810
444	648	808
445	649	807
446	651	805
447	652	803
448	653	802
449	654	800
450	655	798
451	656	796
452	658	794
453	659	793
454	660	791
455	661	789
456	662	787
457	663	785
458	664	783
459	666	781
460	667	780
461	668	778
462	669	776
463	670	774
464	671	772
465	672	770
466	673	769
467	674	767
468	676	765
469	677	763
470	678	761
471	679	759
472	680	758
473	681	756
474	682	754
475	683	752
476	684	750
477	685	748
478	686	747
479	688	745
480	689	743
481	690	741
482	691	739
483	692	737
484	693	736
485	694	734
486	695	732
487	696	730
488	698	729
489	699	727
490	700	725
491	701	724
492	702	722
493	703	720
494	704	718
495	705	717
496	706	715
497	707	713
498	708	711
499	710	710
500	711	708
501	712	707
502	713	705
503	714	703
504	715	701
505	716	699
506	718	698
507	719	696
508	720	695
509	721	693
510	722	691
511	723	689
512	724	687
513	726	686
514	727	685
515	728	683
516	729	681
517	730	680
518	732	678
519	733	676
520	733	674
521	735	673
522	736	671
523	737	670
524	738	668
525	739	666
526	740	664
527	742	663
528	743	661
529	744	660
530	745	658
531	746	656
532	747	654
533	748	652
534	748	650
535	750	649
536	751	647
537	751	645
538	752	643
539	753	641
540	754	640
541	755	638
542	757	637
543	758	635
544	759	633
545	760	631
546	761	630
547	762	628
548	763	627
549	764	625
550	765	623
551	766	621
552	767	620
553	768	618
554	769	617
555	770	615
556	771	613
557	772	611
558	773	610
559	774	608
560	775	607
561	776	605
562	777	603
563	778	601
564	779	599
565	780	598
566	781	596
567	782	595
568	783	593
569	784	591
570	786	590
571	787	589
572	788	587
573	789	586
574	790	584
575	791	582
576	792	580
577	793	579
578	794	577
579	795	576
580	796	574
581	797	572
582	798	571
583	799	569
584	800	568
585	801	566
586	802	564
587	803	562
588	804	561
589	805	559
590	806	558
591	807	556
592	808	554
593	809	553
594	810	551
595	811	549
596	812	548
597	813	547
598	814	545
599	815	543
600	816	542
601	817	540
602	819	539
603	820	537
604	821	536
605	822	534
606	823	532
607	824	531
608	825	529
609	826	528
610	827	526
611	828	525
612	829	523
613	830	522
614	831	520
615	832	519
616	833	517
617	834	515
618	835	514
619	836	512
620	837	510
621	838	509
622	839	507
623	840	506
624	840	504
625	841	502
626	842	501
627	843	499
628	844	498
629	846	496
630	846	495
631	848	493
632	849	492
633	850	490
634	851	489
635	852	487
636	853	486
637	854	484
638	856	483
639	857	482
640	858	480
641	860	479
642	861	478
643	863	477
644	864	475
645	865	474
646	866	472
647	867	471
648	868	469
649	870	468
650	871	467
651	872	465
652	873	464
653	874	462
654	875	461
655	877	460
656	878	458
657	879	457
658	880	455
659	881	454
660	883	452
661	884	451
662	885	450
663	886	448
664	887	447
665	889	445
666	890	444
667	891	442
668	892	441
669	893	439
670	894	438
671	895	437
672	896	435
673	897	434
674	898	432
675	899	430
676	900	429
677	901	428
678	902	426
679	903	425
680	905	423
681	906	422
